,features_of_metrics,S001C,S002C,S002I,S003I,S005I,S001S,S004S,S009S
15,angl_bow_mov_skewnessFreq,(17.58565697143916+3.637965764224219e-16j),(17.263104571933955-5.631177968378126e-20j),(15.446332391779935+7.679440914817442e-17j),(12.15429701978837+8.852638021276311e-17j),(18.45218982875012-3.930151284999e-17j),(16.75256104506685-3.578730365899917e-17j),(15.680453375944875+1.5693002961463644e-17j),(16.413728188993183-7.537078687481512e-17j)
16,angl_bow_mov_kurtosisFreq,(314.7219221121288+8.828388353811238e-15j),(298.48588842600174+7.686159326570908e-19j),(258.98738423058654+1.893264133655813e-15j),(192.71749232635355+2.1985376782523935e-15j),(322.2457211287745-1.166772605949933e-15j),(285.5924635176527-1.2986712795350363e-15j),(264.3841511222428+1.0944814692830095e-16j),(274.7905454815495-1.6664692489892075e-15j)
17,angl_bow_mov_median,(76.53738381346331+0j),(69.0530594616852+0j),(30.27048431965799+0j),(30.376383814398057+0j),(20.529529431575575+0j),(46.51674562543771+0j),(64.72374258440642+0j),(82.37467341530714+0j)
18,angl_bow_mov_peak_count,(29+0j),(19+0j),(25+0j),(34+0j),(30+0j),(31+0j),(23+0j),(27+0j)
19,angl_head_inclination_mean,(71.67341226393911+0j),(76.09392494393353+0j),(69.51759783447606+0j),(71.81474767606514+0j),(72.07261403837906+0j),(75.65965232316066+0j),(69.41250803323979+0j),(87.148776090705+0j)
20,angl_head_inclination_var,(13.91629193915026+0j),(6.70393704345879+0j),(9.252646818502862+0j),(13.339223989177782+0j),(11.200737905571+0j),(24.9434094761719+0j),(2.709172170017753+0j),(101.43806292568296+0j)
21,angl_head_inclination_mad,(2.59656218213744+0j),(1.471973606051023+0j),(1.7456169376752015+0j),(2.921258052876574+0j),(3.0621917970246173+0j),(2.1478541510094686+0j),(0.9140848219127236+0j),(7.659278703096852+0j)
22,angl_head_inclination_max,(80.05875992680592+0j),(82.62458488146162+0j),(76.77095421846215+0j),(80.33181246985012+0j),(79.30067449866148+0j),(102.94179216838998+0j),(74.21553550311945+0j),(106.98637929118054+0j)
23,angl_head_inclination_min,(61.13559216498537+0j),(72.06430407379887+0j),(64.98532032996964+0j),(63.454470810633225+0j),(61.87201111185508+0j),(62.96678010913096+0j),(66.07629653129817+0j),(58.46729492955127+0j)
24,angl_head_inclination_sma,(71.67341226393911+0j),(76.09392494393353+0j),(69.51759783447606+0j),(71.81474767606514+0j),(72.07261403837906+0j),(75.65965232316066+0j),(69.41250803323979+0j),(87.148776090705+0j)
